time,Bx,By,Bz,Btotal
2024-04-26 12:44:32.4580,-15.990,20.910,-13.660,29.650
2024-04-26 12:44:32.5560,-16.130,20.980,-14.090,29.980
2024-04-26 12:44:32.6560,-15.990,21.180,-13.770,29.900
2024-04-26 12:44:32.7550,-15.680,21.380,-13.650,29.820
2024-04-26 12:44:32.8560,-15.990,21.330,-13.680,29.960
2024-04-26 12:44:32.9540,-15.830,20.990,-14.260,29.910
2024-04-26 12:44:33.0550,-16.100,21.280,-13.660,29.980
2024-04-26 12:44:33.1550,-15.700,21.330,-13.300,29.630
2024-04-26 12:44:33.2530,-15.770,21.210,-13.670,29.750
2024-04-26 12:44:33.3540,-15.970,21.280,-13.520,29.840
2024-04-26 12:44:33.4530,-15.790,21.080,-13.620,29.650
2024-04-26 12:44:33.5520,-15.700,21.250,-13.330,29.590
2024-04-26 12:44:33.6510,-15.860,21.070,-13.060,29.430
2024-04-26 12:44:33.7510,-15.920,20.650,-13.770,29.490
2024-04-26 12:44:33.8510,-16.000,21.000,-13.180,29.510
2024-04-26 12:44:33.9510,-16.250,20.860,-13.350,29.620
2024-04-26 12:44:34.0500,-16.200,21.120,-13.910,30.030
2024-04-26 12:44:34.1500,-16.270,21.250,-13.070,29.790
2024-04-26 12:44:34.2490,-15.910,21.070,-13.330,29.580
2024-04-26 12:44:34.3480,-15.990,21.420,-13.310,29.860
2024-04-26 12:44:34.4470,-16.140,21.210,-12.830,29.580
2024-04-26 12:44:34.5470,-15.970,21.130,-13.020,29.510
2024-04-26 12:44:34.6460,-15.770,21.050,-13.480,29.560
2024-04-26 12:44:34.7460,-15.990,20.990,-13.910,29.830
2024-04-26 12:44:34.8450,-15.740,21.220,-13.360,29.610
2024-04-26 12:44:34.9450,-15.710,21.000,-13.410,29.450
2024-04-26 12:44:35.0440,-15.480,21.340,-13.690,29.710
2024-04-26 12:44:35.1440,-15.910,21.420,-13.640,29.970
2024-04-26 12:44:35.2450,-16.010,20.930,-13.610,29.660
2024-04-26 12:44:35.3430,-15.820,21.370,-13.610,29.870
2024-04-26 12:44:35.4440,-16.020,20.770,-13.990,29.730
2024-04-26 12:44:35.5420,-15.980,21.070,-13.550,29.710
2024-04-26 12:44:35.6410,-15.900,21.010,-13.030,29.390
2024-04-26 12:44:35.7410,-15.840,21.130,-13.470,29.640
2024-04-26 12:44:35.8420,-15.740,21.210,-13.570,29.700
2024-04-26 12:44:35.9400,-15.880,21.170,-13.390,29.660
2024-04-26 12:44:36.0410,-15.910,21.070,-13.250,29.540
2024-04-26 12:44:36.1400,-15.980,21.260,-13.300,29.730
2024-04-26 12:44:36.2390,-16.030,21.050,-13.480,29.690
2024-04-26 12:44:36.3400,-16.080,21.190,-13.760,29.950
2024-04-26 12:44:36.4390,-16.100,20.890,-13.400,29.590
2024-04-26 12:44:36.5370,-16.140,20.770,-13.380,29.510
2024-04-26 12:44:36.6380,-16.230,20.820,-13.320,29.570
2024-04-26 12:44:36.7370,-16.170,21.420,-13.740,30.150
2024-04-26 12:44:36.8370,-16.000,21.300,-13.660,29.940
2024-04-26 12:44:36.9350,-16.230,21.190,-13.160,29.760
2024-04-26 12:44:37.0360,-15.880,21.140,-13.340,29.610
2024-04-26 12:44:37.1360,-16.050,21.040,-13.790,29.850
2024-04-26 12:44:37.2350,-16.260,21.030,-13.480,29.800
2024-04-26 12:44:37.3350,-16.120,21.360,-13.270,29.870
2024-04-26 12:44:37.4330,-16.160,21.270,-13.470,29.920
