time,Bx,By,Bz,BT
3.689103,0.01,31.00,-17.38,35.55
3.698488,-0.05,31.04,-17.40,35.59
3.709148,-0.16,31.09,-17.10,35.48
3.718220,-0.38,31.07,-16.92,35.39
3.727796,-0.13,30.93,-16.92,35.25
3.746746,-0.09,30.93,-16.86,35.22
3.748232,0.13,30.96,-17.01,35.32
3.765444,0.27,31.02,-17.38,35.56
3.767684,0.33,30.76,-17.53,35.41
3.778343,0.33,30.89,-17.59,35.55
3.789088,0.35,30.86,-17.98,35.72
3.797157,0.45,30.89,-18.08,35.79
3.807833,0.39,30.87,-18.06,35.77
3.817593,0.39,30.96,-18.16,35.90
3.827987,0.29,31.10,-17.89,35.88
3.847214,0.35,31.10,-17.71,35.79
3.848843,0.22,31.40,-17.70,36.04
3.866099,0.24,31.54,-17.76,36.20
3.867842,0.12,31.53,-17.64,36.13
3.877566,0.24,31.63,-17.80,36.30
3.888702,0.02,31.64,-18.15,36.48
3.896617,0.18,31.44,-18.03,36.25
3.906865,0.26,31.24,-18.24,36.17
3.916809,0.14,31.34,-18.36,36.33
3.927109,0.23,31.05,-18.29,36.04
3.938657,0.17,30.74,-18.25,35.75
3.948842,0.31,30.69,-18.21,35.69
3.957874,0.25,30.49,-18.01,35.42
3.968275,0.32,30.35,-17.76,35.17
3.977631,0.01,30.61,-18.02,35.52
3.995056,-0.13,30.58,-17.86,35.41
3.997911,0.12,30.36,-17.62,35.10
4.007585,-0.05,30.53,-17.45,35.17
4.017656,-0.17,30.56,-17.67,35.30
4.027793,-0.31,30.53,-17.61,35.25
4.037340,-0.31,30.67,-17.79,35.46
4.052770,-0.11,30.85,-17.83,35.63
4.057597,-0.19,30.74,-17.67,35.46
4.067706,-0.03,30.68,-17.38,35.26
4.077695,-0.07,30.88,-17.40,35.44
4.094147,-0.01,30.76,-17.57,35.43
4.097703,0.17,30.88,-17.26,35.38
4.107732,0.25,30.89,-17.34,35.43
4.118656,0.39,30.80,-17.30,35.33
4.128388,0.03,30.61,-17.09,35.06
4.139547,0.64,30.65,-17.24,35.17
4.148844,0.85,30.79,-17.35,35.36
4.157802,1.12,30.62,-17.58,35.33
4.168069,1.10,30.77,-17.28,35.31
4.177859,1.12,30.61,-17.16,35.11
4.189342,0.97,30.92,-17.26,35.43
4.198704,0.79,31.13,-17.09,35.52
4.206696,1.19,31.39,-17.30,35.86
4.217368,1.01,31.36,-17.23,35.79
4.229682,0.79,31.34,-17.52,35.91
4.248084,0.72,31.47,-17.39,35.96
4.249690,0.64,31.48,-17.74,36.14
4.261677,0.56,31.49,-18.05,36.30
4.267797,0.61,31.22,-17.89,35.99
4.277387,0.67,31.26,-17.98,36.07
4.288989,0.51,31.07,-18.00,35.92
4.297704,0.21,30.99,-18.08,35.88
4.307273,0.17,30.90,-18.04,35.78
4.317357,-0.11,30.94,-18.04,35.81
4.329689,-0.03,30.88,-18.20,35.84
4.352264,0.05,31.07,-18.26,36.04
4.354455,0.09,31.07,-18.41,36.12
4.358788,-0.10,31.14,-18.59,36.27
4.367175,-0.08,31.16,-18.80,36.39
4.377165,-0.14,31.23,-18.65,36.38
4.388666,-0.20,31.38,-18.46,36.41
4.397521,-0.08,31.40,-18.52,36.45
4.408231,-0.00,31.67,-18.50,36.68
4.417729,-0.10,31.51,-18.46,36.52
4.427462,-0.16,31.46,-18.42,36.45
4.439232,-0.24,31.24,-18.18,36.15
4.447670,-0.30,31.49,-17.84,36.19
4.457583,0.06,31.45,-17.82,36.15
4.467856,-0.08,31.23,-17.87,35.98
4.480882,-0.20,31.27,-17.76,35.96
4.499977,-0.60,31.03,-17.53,35.64
4.501848,-0.60,30.88,-17.39,35.45
4.511232,-0.58,30.91,-17.19,35.37
4.516529,-0.51,30.80,-16.94,35.16
4.527395,-0.39,30.73,-16.92,35.08
4.538439,-0.61,30.71,-16.84,35.03
4.547546,-0.43,30.86,-16.86,35.17
4.557207,-0.13,30.87,-16.84,35.17
4.567910,0.27,30.90,-17.13,35.33
4.577021,0.49,31.19,-17.05,35.55
4.601109,0.47,31.26,-17.31,35.73
4.603000,0.60,31.47,-17.58,36.05
4.607377,0.50,31.46,-17.72,36.11
4.617315,0.44,31.74,-17.72,36.35
4.628342,0.62,31.55,-17.76,36.21
4.638919,0.24,31.43,-17.89,36.16
4.648171,0.04,31.58,-17.61,36.16
4.656881,-0.28,31.69,-17.86,36.38
4.667109,-0.16,31.75,-17.69,36.34
4.677178,-0.24,31.57,-17.55,36.12
4.688969,-0.10,31.49,-17.65,36.10
4.699044,-0.10,31.52,-17.88,36.24
4.707962,-0.24,31.62,-17.88,36.32
4.717378,0.08,31.63,-17.76,36.28
4.729610,0.28,31.32,-17.85,36.05
4.752141,0.73,31.28,-17.58,35.89
4.754017,0.93,31.28,-17.67,35.94
4.758762,1.05,31.29,-17.73,35.98
4.768086,1.01,31.29,-17.73,35.98
4.778722,1.31,30.98,-17.55,35.63
4.789335,1.36,30.89,-17.74,35.64
4.797750,1.31,31.02,-18.19,35.99
4.807320,1.11,31.12,-18.19,36.06
4.817771,0.73,30.93,-18.46,36.03
4.828479,0.51,31.05,-18.49,36.14
4.846544,0.59,31.10,-18.62,36.25
4.848146,0.73,31.10,-18.43,36.15
4.864499,0.65,31.21,-18.49,36.28
4.867097,0.70,31.43,-18.26,36.36
4.879040,0.53,31.23,-17.75,35.92
4.889598,0.69,31.34,-17.68,35.98
4.897471,0.69,31.21,-17.58,35.83
4.906968,0.61,31.10,-17.42,35.66
4.917318,0.31,31.07,-17.36,35.60
4.927267,-0.02,31.18,-17.58,35.80
4.940940,-0.02,31.19,-17.41,35.72
4.948332,0.03,31.11,-17.37,35.63
4.958020,-0.06,31.44,-17.43,35.95
4.968082,-0.02,31.37,-17.47,35.90
4.979725,0.02,31.68,-17.43,36.16
4.994135,0.04,31.65,-17.65,36.24
4.996619,0.14,31.70,-17.82,36.37
5.006419,0.26,31.45,-17.60,36.04
5.017042,0.02,31.42,-17.64,36.03
5.026898,-0.36,31.36,-17.78,36.06
5.038304,-0.10,31.09,-17.68,35.76
5.047493,-0.06,31.12,-17.72,35.81
5.058707,-0.09,30.72,-17.90,35.56
5.069418,-0.09,30.59,-17.90,35.44
5.078795,-0.05,30.60,-17.63,35.31
5.089185,-0.05,30.65,-17.55,35.32
5.099113,0.15,30.78,-17.65,35.48
5.107812,0.43,30.87,-17.42,35.45
5.117960,0.37,30.93,-17.38,35.48
5.127736,0.15,30.82,-17.17,35.28
5.138787,0.25,31.08,-17.02,35.44
5.148630,0.31,31.21,-16.82,35.46
5.158127,0.39,31.23,-16.77,35.45
5.168824,0.26,31.56,-16.87,35.79
5.177666,0.42,31.45,-16.85,35.68
5.188968,0.02,31.47,-16.91,35.73
5.198658,-0.04,31.43,-17.14,35.80
5.211832,0.06,31.57,-17.47,36.08
5.217530,0.14,31.53,-17.39,36.01
5.227087,0.06,31.42,-17.41,35.92
5.239079,0.00,31.34,-17.12,35.71
5.249649,0.07,31.11,-17.31,35.60
5.258301,0.02,31.29,-17.58,35.89
5.268753,0.28,31.27,-17.66,35.91
5.278381,0.10,31.22,-17.66,35.86
5.292812,-0.12,31.11,-17.41,35.65
5.298883,-0.42,31.32,-17.37,35.82
5.308230,-0.34,31.47,-17.36,35.94
5.318422,-0.26,31.53,-17.71,36.16
5.328637,-0.18,31.62,-17.61,36.19
5.339266,-0.50,31.30,-17.35,35.80
5.347712,-0.78,31.18,-17.32,35.67
5.357801,-0.54,31.05,-17.22,35.51
5.368510,-0.42,31.16,-17.27,35.63
5.377738,-0.27,30.97,-17.46,35.55
5.389343,-0.11,30.82,-17.63,35.51
5.398564,-0.17,30.91,-17.73,35.63
5.407085,-0.25,30.69,-17.56,35.36
5.418049,-0.37,30.88,-17.58,35.53
5.430054,0.09,31.07,-17.54,35.68
5.437245,0.15,31.05,-17.66,35.72
5.448943,0.23,30.97,-17.73,35.69
5.459147,0.31,30.78,-17.44,35.38
5.468860,0.11,30.87,-17.52,35.50
5.477793,0.27,30.82,-17.46,35.42
5.488997,0.43,31.18,-17.58,35.79
5.497676,0.73,31.01,-17.44,35.59
5.507627,0.61,30.94,-17.42,35.51
5.518626,0.41,31.09,-17.46,35.66
5.526958,0.41,31.05,-17.42,35.61
5.537357,0.25,31.11,-17.56,35.72
5.548098,0.05,31.13,-17.44,35.68
5.557311,-0.24,31.07,-17.62,35.72
5.567302,-0.31,30.78,-17.58,35.45
5.577461,-0.44,30.98,-17.87,35.77
5.588465,-0.55,30.84,-17.81,35.62
5.596839,-0.52,30.89,-17.75,35.64
5.607502,-0.36,31.07,-17.78,35.80
5.617450,-0.30,31.17,-17.68,35.83
5.627339,-0.26,31.30,-17.41,35.82
5.638959,-0.34,31.25,-17.22,35.68
5.648819,-0.16,31.45,-17.30,35.89
5.658440,-0.10,31.50,-17.28,35.93
5.667159,-0.14,31.55,-17.57,36.11
5.680543,-0.22,31.53,-17.45,36.04
5.690848,-0.34,31.48,-17.34,35.94
5.697408,-0.44,31.52,-17.51,36.06
5.706949,-0.32,31.53,-17.49,36.06
5.717791,-0.20,31.51,-17.70,36.14
5.727819,-0.22,31.31,-17.59,35.91
5.740138,-0.24,31.08,-17.43,35.63
5.748438,0.07,31.13,-17.33,35.63
5.757813,0.27,31.07,-17.33,35.58
5.767215,0.29,31.06,-17.38,35.59
5.779753,0.21,30.99,-17.27,35.47
5.797771,0.29,30.80,-17.55,35.45
5.799410,0.41,30.82,-17.34,35.36
5.808881,0.21,30.87,-17.44,35.46
5.817596,0.35,30.90,-17.54,35.53
5.826576,0.15,30.91,-17.40,35.47
5.838196,0.07,30.80,-17.48,35.41
5.847826,0.03,30.65,-17.53,35.31
5.857931,0.37,30.70,-17.63,35.40
5.867356,0.33,30.88,-17.75,35.62
5.878510,0.35,30.96,-17.63,35.63
5.894060,0.43,30.89,-17.55,35.53
5.896584,0.39,31.03,-17.46,35.61
5.907133,0.39,31.04,-17.32,35.55
5.917556,0.31,31.10,-17.19,35.53
5.927538,0.29,31.08,-17.11,35.48
5.938770,0.45,30.95,-16.97,35.30
5.947226,0.63,30.77,-16.78,35.05
5.957941,0.61,30.82,-17.03,35.22
5.968017,0.63,30.93,-16.87,35.24
5.979862,0.63,30.84,-17.01,35.23
5.989620,0.72,30.64,-17.12,35.10
5.998198,0.86,30.63,-17.12,35.10
6.006971,0.92,30.71,-17.14,35.18
6.016954,0.83,30.85,-17.26,35.36
6.026644,0.49,30.71,-17.34,35.27
6.037734,0.49,30.63,-17.49,35.28
6.047150,0.32,30.43,-17.64,35.17
6.058087,0.44,30.48,-17.53,35.17
6.068892,0.45,30.68,-17.69,35.42
6.077521,0.55,30.84,-17.76,35.60
